combination_id,x_m,shear_kn,moment_knm
SLS_CHARACTERISTIC,3.45,-24.9625,57.611562
SLS_CHARACTERISTIC,3.5,-25.75,56.34375
SLS_CHARACTERISTIC,3.55,-26.5375,55.036563
SLS_CHARACTERISTIC,3.6,-27.325,53.69
SLS_CHARACTERISTIC,3.65,-28.1125,52.304063
SLS_CHARACTERISTIC,3.7,-28.9,50.87875
SLS_CHARACTERISTIC,3.75,-29.6875,49.414062
SLS_CHARACTERISTIC,3.8,-30.475,47.91
SLS_CHARACTERISTIC,3.85,-31.2625,46.366562
SLS_CHARACTERISTIC,3.9,-32.05,44.78375
SLS_CHARACTERISTIC,3.95,-32.8375,43.161562
SLS_CHARACTERISTIC,4.0,-33.625,41.5
SLS_CHARACTERISTIC,4.05,-34.4125,39.799062
SLS_CHARACTERISTIC,4.1,-35.2,38.05875
SLS_CHARACTERISTIC,4.15,-35.9875,36.279063
SLS_CHARACTERISTIC,4.2,-36.775,34.46
SLS_CHARACTERISTIC,4.25,-37.5625,32.601562
SLS_CHARACTERISTIC,4.3,-38.35,30.70375
SLS_CHARACTERISTIC,4.35,-39.1375,28.766562
SLS_CHARACTERISTIC,4.4,-39.925,26.79
SLS_CHARACTERISTIC,4.45,-40.7125,24.774062
SLS_CHARACTERISTIC,4.5,-41.5,22.71875
SLS_CHARACTERISTIC,4.55,-42.2875,20.624063
SLS_CHARACTERISTIC,4.6,-43.075,18.49
SLS_CHARACTERISTIC,4.65,-43.8625,16.316562
SLS_CHARACTERISTIC,4.7,-44.65,14.10375
SLS_CHARACTERISTIC,4.75,-45.4375,11.851562
SLS_CHARACTERISTIC,4.8,-46.225,9.56
SLS_CHARACTERISTIC,4.85,-47.0125,7.229063
SLS_CHARACTERISTIC,4.9,-47.8,4.85875
SLS_CHARACTERISTIC,4.95,-48.5875,2.449062
SLS_CHARACTERISTIC,5.0,-49.375,0.0
SLS_QUASI_PERMANENT,0.0,22.875,0.0
SLS_QUASI_PERMANENT,0.05,22.5075,1.134563
SLS_QUASI_PERMANENT,0.1,22.14,2.25075
SLS_QUASI_PERMANENT,0.15,21.7725,3.348562
SLS_QUASI_PERMANENT,0.2,21.405,4.428
SLS_QUASI_PERMANENT,0.25,21.0375,5.489063
SLS_QUASI_PERMANENT,0.3,20.67,6.53175
SLS_QUASI_PERMANENT,0.35,20.3025,7.556062
SLS_QUASI_PERMANENT,0.4,19.935,8.562
SLS_QUASI_PERMANENT,0.45,19.5675,9.549563
SLS_QUASI_PERMANENT,0.5,19.2,10.51875
SLS_QUASI_PERMANENT,0.55,18.8325,11.469563
SLS_QUASI_PERMANENT,0.6,18.465,12.402
SLS_QUASI_PERMANENT,0.65,18.0975,13.316063
SLS_QUASI_PERMANENT,0.7,17.73,14.21175
SLS_QUASI_PERMANENT,0.75,17.3625,15.089063
SLS_QUASI_PERMANENT,0.8,16.995,15.948
SLS_QUASI_PERMANENT,0.85,16.6275,16.788562
SLS_QUASI_PERMANENT,0.9,16.26,17.61075
SLS_QUASI_PERMANENT,0.95,15.8925,18.414562
SLS_QUASI_PERMANENT,1.0,15.525,19.2
SLS_QUASI_PERMANENT,1.05,15.1575,19.967063
SLS_QUASI_PERMANENT,1.1,14.79,20.71575
SLS_QUASI_PERMANENT,1.15,14.4225,21.446063
SLS_QUASI_PERMANENT,1.2,14.055,22.158
SLS_QUASI_PERMANENT,1.25,13.6875,22.851562
SLS_QUASI_PERMANENT,1.3,13.32,23.52675
SLS_QUASI_PERMANENT,1.35,12.9525,24.183563
SLS_QUASI_PERMANENT,1.4,12.585,24.822
SLS_QUASI_PERMANENT,1.45,12.2175,25.442062
SLS_QUASI_PERMANENT,1.5,11.85,26.04375
SLS_QUASI_PERMANENT,1.55,11.4825,26.627063
SLS_QUASI_PERMANENT,1.6,11.115,27.192
SLS_QUASI_PERMANENT,1.65,10.7475,27.738563
SLS_QUASI_PERMANENT,1.7,10.38,28.26675
SLS_QUASI_PERMANENT,1.75,10.0125,28.776563
SLS_QUASI_PERMANENT,1.8,9.645,29.268
SLS_QUASI_PERMANENT,1.85,9.2775,29.741063
SLS_QUASI_PERMANENT,1.9,8.91,30.19575
SLS_QUASI_PERMANENT,1.95,8.5425,30.632062
SLS_QUASI_PERMANENT,1.999999,8.175007,31.049992
SLS_QUASI_PERMANENT,2.0,0.675,31.05
SLS_QUASI_PERMANENT,2.000001,0.674993,31.050001
SLS_QUASI_PERMANENT,2.05,0.3075,31.074562
SLS_QUASI_PERMANENT,2.1,-0.06,31.08075
SLS_QUASI_PERMANENT,2.15,-0.4275,31.068562
SLS_QUASI_PERMANENT,2.2,-0.795,31.038
SLS_QUASI_PERMANENT,2.25,-1.1625,30.989063
SLS_QUASI_PERMANENT,2.3,-1.53,30.92175
SLS_QUASI_PERMANENT,2.35,-1.8975,30.836062
SLS_QUASI_PERMANENT,2.4,-2.265,30.732
SLS_QUASI_PERMANENT,2.45,-2.6325,30.609562
SLS_QUASI_PERMANENT,2.5,-3.0,30.46875
SLS_QUASI_PERMANENT,2.55,-3.3675,30.309562
SLS_QUASI_PERMANENT,2.6,-3.735,30.132
SLS_QUASI_PERMANENT,2.65,-4.1025,29.936062
SLS_QUASI_PERMANENT,2.7,-4.47,29.72175
SLS_QUASI_PERMANENT,2.75,-4.8375,29.489063
SLS_QUASI_PERMANENT,2.8,-5.205,29.238
SLS_QUASI_PERMANENT,2.85,-5.5725,28.968563
SLS_QUASI_PERMANENT,2.9,-5.94,28.68075
SLS_QUASI_PERMANENT,2.95,-6.3075,28.374563
SLS_QUASI_PERMANENT,3.0,-6.675,28.05
SLS_QUASI_PERMANENT,3.05,-7.0425,27.707063
SLS_QUASI_PERMANENT,3.1,-7.41,27.34575
SLS_QUASI_PERMANENT,3.15,-7.7775,26.966062
SLS_QUASI_PERMANENT,3.2,-8.145,26.568
SLS_QUASI_PERMANENT,3.25,-8.5125,26.151563
SLS_QUASI_PERMANENT,3.3,-8.88,25.71675
SLS_QUASI_PERMANENT,3.35,-9.2475,25.263563
SLS_QUASI_PERMANENT,3.4,-9.615,24.792
SLS_QUASI_PERMANENT,3.45,-9.9825,24.302062
SLS_QUASI_PERMANENT,3.5,-10.35,23.79375
SLS_QUASI_PERMANENT,3.55,-10.7175,23.267063
SLS_QUASI_PERMANENT,3.6,-11.085,22.722
SLS_QUASI_PERMANENT,3.65,-11.4525,22.158562
SLS_QUASI_PERMANENT,3.7,-11.82,21.57675
